gaia_source_id,ra,dec,phi1,phi2,pmra,pmra_error,pmdec,pmdec_error,vel_calib,vgsr,vel_calib_std,feh50,feh_calib_std,bhb_dist
5642596439988740096,132.88303750000003,-29.03005277777778,-8.887419656027705,-0.35771728345175297,-0.2325322404813414,0.23440855741500854,-0.9694044017349072,0.28947556018829346,266.6448708400317,32.95563275152108,7.4979481629775036,-2.033353752346705,0.47295150060955005,nan
5641281969537066752,131.73284999999998,-30.583086111111115,-10.715703395087205,-0.613581000151769,-0.4488559223163221,0.10597582906484604,-1.2193940217547272,0.13372421264648438,256.40303385750985,20.747401515658566,4.180481082928019,-2.228717212202898,0.33336259995098216,nan
5676731289567340928,140.321275,-20.12602777777778,2.283124891587118,-0.0462632387452467,-0.7610245282040371,0.23298996686935425,-1.7791272931098479,0.2007620483636856,261.6202963942985,43.94289888910447,18.248012157688798,-2.4351736768760417,0.3677188276245717,nan
5681463076513375104,141.28059583333334,-18.387500000000003,4.215522102880699,0.2830607708664424,-0.7996145487574788,0.0684296116232872,-1.6524040738901835,0.05074106156826019,274.55134682231585,60.75397276906608,1.3991735330769715,-2.675594715332083,0.17748673462722464,nan
5685049438629612032,143.85918333333333,-16.833552777777776,6.929021683749758,-0.7618918629346729,-0.9210961224483442,0.24616208672523499,-1.3985636756185411,0.18847191333770752,289.6429519734562,80.3558744405511,6.361487407050493,-2.3801643850459744,0.46547920055871334,nan
5690585067357950592,145.50667916666666,-13.684391666666668,10.410460096534853,-0.1933897046132607,-0.44070688332813923,0.3454684615135193,-1.404837304153401,0.3272053003311157,269.0598578673731,67.92817836270723,8.88842475689259,-2.2798912544530587,0.6203735934038781,nan
3770646656396115456,147.64336666666665,-10.578233333333333,14.15190920030936,-0.08190705913085268,-1.236197136074844,0.38619494438171387,-1.8139277107188632,0.34389442205429077,274.916203851933,82.9419585259975,10.479091058322712,-1.409203939485217,0.5712647797943025,nan
5679757081143846912,140.05664166666668,-19.760341666666665,2.422585209161826,0.3734514561030625,-0.29802103231081134,0.336983323097229,-1.9993993992162487,0.269957959651947,273.713535495241,56.66960497578768,7.057693458216067,-2.3415035041515693,0.37385926346064874,nan
5641283760545559296,131.75284583333334,-30.477674999999998,-10.624812366591419,-0.5574753943991066,-0.4352123407400283,0.023170707747340202,-1.1483106547848074,0.029403705149888992,257.3300982347726,21.803821273570065,0.720464945463759,-2.062485952010279,0.05329357400189279,nan
5642070216297474432,132.0583916666667,-30.05426388888889,-10.131954829029846,-0.4798219882760701,-0.5081545683744945,0.1143319234251976,-1.1422161157779631,0.14098775386810303,240.05909750033805,5.0499571400768275,15.439924835730288,-2.836294716680241,0.6716927221200494,34.18628973754189
5651321717585215744,136.39737499999998,-24.384866666666667,-3.30815608284625,0.18597408285019404,-0.6306850467761466,0.09776425361633301,-1.3482098063690253,0.07768537104129791,265.1216086721764,38.70312435094354,2.6013491737559447,-2.533954546002952,0.24607083496203996,nan
5651895142962067328,137.6925,-23.071094444444444,-1.541783478236715,0.07833835789079711,-0.5200660826348265,0.08994616568088531,-1.4156619881099988,0.08340970426797867,271.41401907097804,47.49607905011439,1.1889742104571832,-1.693196446982204,0.15183584034509595,nan
5676577976415314560,139.56830833333333,-20.94404722222222,1.2049232641082535,0.015549061638008755,-0.5050933598917823,0.11441443860530853,-1.4452063739854328,0.09324911236763,279.79331451940755,60.281320419877886,8.887680697747893,-2.7423552940771234,0.7485157738772368,30.74763559875765
5681730395277883392,140.8192625,-17.78058888888889,4.435077762006051,0.998925178425211,-0.6525919051747341,0.12014896422624588,-1.5119693197465827,0.08517519384622574,267.13998423829594,54.44072643601257,12.682953740147129,-1.9162896144541812,0.33786347884402723,29.898812943955445
5642070800412994816,132.017875,-30.076141666666665,-10.171434984574276,-0.4675891530488328,-0.6637948015988352,0.30548813939094543,-1.7344234643509198,0.44717085361480713,268.66343473754193,33.628236971579184,11.718008548122434,-2.8370270973722507,0.544132705449006,nan
5642484663460743936,132.54585833333334,-29.50346111111111,-9.438448356603109,-0.4414701337418064,-0.4141018619172957,0.04022248834371567,-1.0854898681708667,0.04994112625718117,260.6709342273406,26.3576541085219,1.0177745009843946,-2.4390974086078474,0.08230691597644907,nan
5676619036303386368,139.95094583333332,-20.47795,1.7925839441745237,0.01579853478416157,-0.8853344839367177,0.11852409690618515,-1.515530725142729,0.08693165332078934,280.92471800844214,62.433647294593214,4.495646434215594,-2.209647855885825,0.34902702335283664,29.583979358746983
5681300928612407424,140.75992916666667,-19.2408,3.237679251901676,0.1611954338558556,-0.5184685226805907,0.34053534269332886,-2.0028906135009965,0.2254585474729538,267.47499678617487,51.723481919354924,13.566963074923812,-1.9568440287458284,0.3739393294758111,nan
5688527125188204032,143.47022916666668,-15.09276111111111,8.110231779813615,0.570397288458352,-0.7054706063094718,0.2529210150241852,-1.7939634147834134,0.2273242026567459,270.0821233939265,64.50300711475867,6.653769288989596,-0.882794894856384,0.8382426355435254,nan
5690813834496188288,145.60489583333333,-12.655391666666667,11.30059334811914,0.33163976077968266,-1.142041685816161,0.18160152435302734,-1.6420036552511321,0.18215925991535187,271.96274481032765,73.38574467367332,14.370692594342918,-2.0964512550605012,0.5914932419352824,nan
5649276419801016576,134.7789875,-26.74308611111111,-6.058347955636125,-0.17263389325650697,-0.5787060008627097,0.08823041617870331,-1.1521951772778067,0.09036072343587875,269.7024254115437,39.34360609377458,2.4311366712070313,-2.493236901257057,0.2040391179215486,nan
5651211594623674752,136.0920625,-24.817294444444443,-3.819006144503668,0.13040031784301628,-0.5552679395880636,0.03177749365568161,-1.2899766446994745,0.03714102879166603,269.9774788649963,42.79672099808121,0.8575953087479807,-2.672007834667246,0.07153599099518795,nan
5651897621159892864,137.76024583333333,-22.96656666666667,-1.4211093928980045,0.09419971897952802,-0.4951825161657448,0.28977349400520325,-1.2948070703327947,0.2593871057033539,274.8359586141147,51.117757388108316,5.855478160429008,-1.7105306430849163,0.6149193103524951,nan
5676733114929773184,140.49798333333337,-20.026169444444445,2.4631591609085928,-0.11771820347960886,-0.9176375661508753,0.12371858954429626,-1.6449234365491732,0.09112773835659027,274.0931282785484,56.674798815237125,6.413343314122125,-2.178902652065785,0.23123466592062056,29.862787756722025
5678288438550469888,140.64956666666666,-19.483822222222223,2.9811736308385366,0.09711686497192705,-0.7194952442989075,0.08476458489894867,-1.5695937889476468,0.057995814830064774,272.9713076387212,56.68851488654579,1.831099639437806,-2.2833787958795866,0.2077258618133958,nan
5641143602871524352,131.14655000000002,-31.156769444444446,-11.478869599602453,-0.6117231971052143,-0.42426276751076875,0.10869952291250229,-1.089536090638818,0.12965667247772217,265.4443135632207,29.132872464682833,8.67811356809924,-2.1097638971162267,0.3886965821092381,33.460754093611385
5651324736945463936,136.5942791666667,-24.320858333333334,-3.1458647652477367,0.0862873010874851,-0.6390404383989983,0.060207728296518326,-1.4562267177635173,0.049852609634399414,269.56363717806113,43.28406629226649,1.7441323249111176,-2.438578982045973,0.17795397959436338,nan
5688529324211519232,143.56456250000002,-15.01943888888889,8.223287931652273,0.5404980681342737,-1.4708358420264862,0.43664059042930603,-1.7230235144642378,0.32434725761413574,275.51132904201745,70.14939716247406,6.651326913829964,-1.5876012782190367,0.6186957500923409,nan
5689088838191581696,144.96561666666665,-13.902155555555556,9.925851583082954,0.10440809810286253,-1.2066735998436338,0.20133791863918304,-1.960398330678946,0.16808244585990906,271.21565536103424,69.24059798559381,5.21516005991113,-2.0314857510158344,0.4617253698192762,nan
5676065054240878464,138.65457083333334,-21.63514166666667,0.13713001815865908,0.2650953448436723,-0.6838222488714529,0.08419958502054214,-1.4868152023922319,0.07642330229282379,275.02878540697134,53.94890102304592,1.558886678115752,-2.1807630233217266,0.18121351345833478,nan
5676620238894113280,140.10935416666666,-20.566872222222223,1.8121976751648423,-0.15604922497363233,-0.6497490562400673,0.07389859110116959,-1.5983226593026534,0.055124565958976746,274.0558095854356,55.44491906928107,1.4220093145096024,-2.422585051076239,0.19865489587326227,nan
5690703230498744448,145.36814583333333,-13.039819444444445,10.853808493643223,0.2935221235045941,-0.5291102591130538,0.4907209277153015,-1.679230154433648,0.44084444642066956,268.57535004378263,68.91386036407238,14.22967072071289,-2.5810350344670674,0.5690055789631235,nan
5691204298563228544,147.32878333333332,-11.9883,12.824193686648833,-0.6482233342640323,-1.347027173821012,0.2767423689365387,-1.4977784533503309,0.3325359523296356,269.48015557648966,73.69713248654972,6.131639016662805,-2.1656711868192673,0.3186170504016756,nan
5691352629554024576,147.9467125,-11.204866666666668,13.813510932425652,-0.6876253013376338,-1.0889265308734934,0.07565812766551971,-2.0953436609298595,0.0681169182062149,272.9302247964872,79.5695561334754,1.6276041131330214,-2.0749599967680483,0.13878729783073585,nan
5681301821965647232,140.80868333333336,-19.17198888888889,3.3203264466861437,0.16611401957315583,-0.8980090886504934,0.1108388677239418,-1.630353255042136,0.07300297915935516,273.64218735602134,58.04845810133739,5.2074329779838955,-2.068112569282068,0.36893898423522486,29.834383221313583
5682102408165005696,142.82850416666668,-16.863194444444446,6.319696875746249,0.014432736177069524,-0.8927229820728168,0.10027815401554108,-1.5966046379068297,0.06487984210252762,273.06090038051127,63.19378470718101,1.6572220896382468,-2.3000666106009264,0.20085039059163026,nan
5651521343369629184,138.14427500000002,-23.79121111111111,-1.8509811498835553,-0.6928898546476233,-0.7738661203941072,0.20155781507492065,-1.492535710824734,0.17588737607002258,285.8304579601711,60.76240428079569,11.356376686053888,-1.9782884844602435,0.5421623288824667,nan
5681473483218668032,141.69089583333334,-18.353672222222222,4.476692641918277,-0.007730413841299931,-0.8234230900927298,0.41709357500076294,-1.5673852411786384,0.4312882423400879,288.86530563208555,75.30555245402368,13.344113363932985,-1.591535911277962,0.330958603150724,nan
