RA,Dec,Phi1,Phi2,Distance_Modulus,RRL?,BHB?
13.9762311,-23.2519006,6.4201076652973565,0.6926182732994856,16.58902,True,False
9.9744782,-20.892897,10.804826896917513,0.39276074762404845,16.476725,True,False
8.7047701,-19.8299726,12.396016916412911,0.5152513660874624,16.327773,True,False
52.6659609,-35.8859522,-29.129065801051677,3.989490808632411,18.513953,True,False
38.2420129,-35.8148277,-18.040116575082962,0.2890285144236735,17.380105,True,False
35.712855,-36.3453409,-16.387235844889208,-1.0253144257921845,17.119598999999997,True,False
26.0199557,-30.3625957,-6.454846098094858,0.5607911931215532,17.024154999999997,True,False
25.6322687,-30.2315534,-6.099500195489571,0.506374928390524,16.933861,True,False
23.836664,-28.7730196,-4.011446476988797,0.9647055877252931,16.901744,True,False
18.697865,-25.0985695,1.8251260411192667,1.6177558688154583,16.89789,True,False
46.2639548,-39.543708,-25.295353618938307,-0.941550448318973,17.940393,True,False
43.196732,-36.0507519,-21.854476078734425,1.5548215839782984,17.811110000000003,True,False
40.8013456,-34.3722123,-19.424998694372963,2.4218450738776927,20.50326,True,False
40.0776703,-34.2535586,-18.825661389396277,2.3088361734886402,20.295720000000003,True,False
13.275069,-22.843478,7.182418949631654,0.6474197410536511,16.527975708339987,False,True
13.115925,-22.792238,7.331297482774661,0.6029086068081873,16.527311101404145,False,True
13.161556,-22.616244,7.400472776520182,0.7701250731210458,16.487478620383918,False,True
4.366381,-17.001365,17.378968922864132,0.1834916526543671,16.3150270128313,False,True
50.758896,-40.016272,-28.73759735190218,-0.3883002968662083,17.807104269533646,False,True
37.10987,-35.706761,-17.154692956638005,0.021264496555893332,17.27769368310922,False,True
30.77164,-33.305859,-11.408690908635144,-0.07900977243843436,16.950967250803476,False,True
34.759073,-33.963077,-14.675196505476167,0.8056020311226723,17.223090667538404,False,True
33.274135,-33.535181,-13.376860491710167,0.6568778986231534,17.18357125650001,False,True
30.135734,-33.275844,-10.923841096672115,-0.2989407000521072,16.9356760601797,False,True
28.094061,-31.854195,-8.734498899129521,0.1349056597292467,16.864033944913743,False,True
31.822883,-31.355326,-11.308060737271632,2.0618582823341174,17.23977049858524,False,True
23.670351,-29.264216,-4.140956588468105,0.46906995399895884,16.753630594033545,False,True
28.006574,-28.280909,-6.938091601358046,3.2253070215336166,17.111505620238802,False,True
18.654976,-26.549132,1.0552857092990835,0.3876453123642488,16.549505985152006,False,True
17.317953,-25.139657,2.8399460863077106,0.887450470011631,16.629072451879008,False,True
22.559976,-28.177189,-2.7429879219821163,0.8883053029593976,17.43060020160248,False,True
21.84769,-27.870423,-2.0469945596765804,0.8164894981883735,16.799916533492876,False,True
19.678816,-26.591157,0.2670632066210806,0.8556918560503621,16.744050585569173,False,True
18.824235,-24.871687,1.854990066305129,1.870154221754203,17.196995967030787,False,True
43.940599,-36.818638,-22.679708133054422,1.037965117776932,17.94297171672267,False,True
42.075374,-35.977267,-20.979196022496925,1.304883747531449,17.91479852395433,False,True
43.196732,-36.05075,-21.854475421422663,1.5548233667456193,17.980578796517467,False,True
39.867179,-34.583941,-18.789640479637015,1.937342504346914,17.366464486931097,False,True
39.780527,-34.450127,-18.6727738939169,2.0341019938202076,17.810497778932803,False,True
38.601007,-34.371865,-17.744096927455296,1.7315313267368515,17.823669606162902,False,True
